Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,31/10/2012,24-231,GSW,@,PHO,1,30:22:00,2,14,0.143,0,6,0,1,3,0.333,3,4,7,3,2,0,4,3,5,-2.6,-2
2,2,02/11/2012,24-233,GSW,,MEM,1,42:30:00,10,20,0.5,6,10,0.6,0,1,0,1,4,5,7,1,0,4,3,26,18.2,-7
3,3,03/11/2012,24-234,GSW,@,LAC,1,43:02:00,6,16,0.375,2,7,0.286,9,10,0.9,0,4,4,4,3,0,5,4,23,14.2,6
4,4,05/11/2012,24-236,GSW,@,SAC,1,39:02:00,3,15,0.2,2,6,0.333,4,5,0.8,1,5,6,8,1,0,3,2,12,7.3,0
5,5,07/11/2012,24-238,GSW,,CLE,1,36:28:00,8,14,0.571,2,6,0.333,3,3,1,0,5,5,6,2,0,3,3,21,17.9,7
6,6,09/11/2012,24-240,GSW,@,LAL,1,30:16:00,6,16,0.375,2,6,0.333,4,4,1,0,3,3,5,1,0,0,0,18,14.6,-19
7,7,10/11/2012,24-241,GSW,,DEN,1,37:12:00,7,17,0.412,3,6,0.5,2,2,1,0,5,5,3,3,0,4,5,19,10.5,-5
8,8,14/11/2012,24-245,GSW,,ATL,1,32:31:00,4,12,0.333,0,5,0,4,4,1,0,1,1,7,3,0,4,3,12,8.2,1
9,9,16/11/2012,24-247,GSW,@,MIN,1,29:09:00,7,12,0.583,0,3,0,3,3,1,2,2,4,6,1,1,3,6,17,13.9,19
10,10,18/11/2012,24-249,GSW,@,OKC,1,33:21:00,9,17,0.529,4,8,0.5,0,0,,1,1,2,6,0,0,3,2,22,15.1,-11
11,11,19/11/2012,24-250,GSW,@,DAL,1,43:16:00,9,21,0.429,3,7,0.429,10,10,1,0,6,6,9,2,0,4,2,31,25.2,3
12,12,21/11/2012,24-252,GSW,,BRK,1,41:35:00,7,13,0.538,2,4,0.5,9,10,0.9,0,6,6,4,0,0,2,2,25,20.1,9
13,13,23/11/2012,24-254,GSW,@,DEN,1,25:46:00,2,5,0.4,2,2,1,0,0,,0,1,1,3,0,0,4,4,6,0.1,-18
14,14,24/11/2012,24-255,GSW,,MIN,1,38:53:00,7,19,0.368,5,10,0.5,1,1,1,0,2,2,6,1,0,3,3,20,11.1,22
15,15,29/11/2012,24-260,GSW,,DEN,1,45:07:00,7,17,0.412,4,7,0.571,2,2,1,1,3,4,10,4,0,3,4,20,18.9,2
16,16,01/12/2012,24-262,GSW,,IND,1,37:07:00,7,14,0.5,3,5,0.6,3,3,1,0,1,1,11,2,0,4,4,20,17.4,6
17,17,03/12/2012,24-264,GSW,,ORL,1,44:12:00,9,21,0.429,3,6,0.5,4,5,0.8,1,4,5,11,2,0,1,0,25,24.1,-3
18,18,05/12/2012,24-266,GSW,@,DET,1,37:16:00,7,15,0.467,4,6,0.667,4,4,1,0,3,3,10,4,0,1,2,22,24.4,10
19,19,07/12/2012,24-268,GSW,@,BRK,1,42:59:00,10,19,0.526,5,9,0.556,3,3,1,1,3,4,5,2,0,0,1,28,25.4,8
20,20,08/12/2012,24-269,GSW,@,WAS,1,35:28:00,7,15,0.467,2,8,0.25,6,7,0.857,1,2,3,5,0,0,4,1,22,14.3,-5
21,21,10/12/2012,24-271,GSW,@,CHA,1,36:33:00,10,22,0.455,4,7,0.571,3,4,0.75,1,6,7,7,1,0,3,5,27,18.6,3
22,22,12/12/2012,24-273,GSW,@,MIA,1,41:45:00,4,10,0.4,1,3,0.333,0,0,,0,3,3,7,2,0,6,0,9,5.4,9
23,23,14/12/2012,24-275,GSW,@,ORL,1,42:54:00,8,19,0.421,2,5,0.4,7,8,0.875,1,2,3,3,0,0,1,0,25,16.9,-6
24,24,15/12/2012,24-276,GSW,@,ATL,1,36:12:00,6,20,0.3,3,11,0.273,3,3,1,0,8,8,11,3,0,4,1,18,15.1,20
25,25,18/12/2012,24-279,GSW,,NOH,1,39:17:00,5,13,0.385,1,3,0.333,2,2,1,2,3,5,3,0,0,2,2,13,7.5,3
26,26,19/12/2012,24-280,GSW,@,SAC,1,41:46:00,11,24,0.458,7,12,0.583,3,3,1,0,6,6,4,1,1,4,6,32,19.5,0
27,27,21/12/2012,24-282,GSW,,CHA,1,35:41:00,9,17,0.529,8,13,0.615,1,1,1,0,3,3,8,0,2,2,2,27,23.8,7
28,28,22/12/2012,24-283,GSW,,LAL,1,44:31:00,8,23,0.348,3,10,0.3,1,1,1,1,7,8,7,4,0,4,4,20,13.2,6
29,29,26/12/2012,24-287,GSW,@,UTA,1,37:51:00,7,18,0.389,4,7,0.571,5,6,0.833,2,6,8,7,1,1,2,0,23,20.6,12
30,30,28/12/2012,24-289,GSW,,PHI,1,39:23:00,5,11,0.455,1,4,0.25,0,0,,0,5,5,6,1,0,4,3,11,6.8,7
31,31,29/12/2012,24-290,GSW,,BOS,1,34:43:00,8,13,0.615,4,5,0.8,2,2,1,1,3,4,9,3,2,5,3,22,22.2,19
32,32,02/01/2013,24-294,GSW,,LAC,1,43:09:00,11,16,0.688,6,8,0.75,3,4,0.75,1,5,6,8,2,0,4,3,31,28.4,27
33,33,05/01/2013,24-297,GSW,@,LAC,1,29:00:00,4,11,0.364,1,5,0.2,1,1,1,0,0,0,5,0,0,2,0,10,5.4,-31
34,34,09/01/2013,24-301,GSW,,MEM,1,40:31:00,10,22,0.455,4,8,0.5,0,1,0,1,3,4,4,2,0,4,2,24,13.8,-12
35,35,11/01/2013,24-303,GSW,,POR,1,43:36:00,7,22,0.318,3,8,0.375,5,5,1,0,3,3,12,3,1,1,1,22,21,-1
36,36,13/01/2013,24-305,GSW,@,DEN,1,41:01:00,11,18,0.611,7,9,0.778,0,0,,0,0,0,7,1,0,1,4,29,24.1,-13
37,,16/01/2013,24-308,GSW,,MIA,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
